Section,Day,Period,Subject,Teacher
1,Monday,1,English,Eve
1,Monday,2,Chemistry,David
1,Monday,3,Art,Harper
1,Monday,4,English,Michael
1,Monday,5,Computer Science,Brooklyn
1,Monday,6,Math,Aria
1,Monday,7,Math,Brooklyn
1,Monday,8,Biology,Alice
1,Monday,9,Computer Science,Brooklyn
1,Tuesday,1,Computer Science,James
1,Tuesday,2,Math,Samuel
1,Tuesday,3,Physics,Henry
1,Tuesday,4,Physical Education,Mila
1,Tuesday,5,Physical Education,Henry
1,Tuesday,6,Chemistry,David
1,Tuesday,7,Geography,Lily
1,Tuesday,8,History,Zoe
1,Tuesday,9,Music,Elijah
1,Wednesday,1,Math,Noah
1,Wednesday,2,Physics,Henry
1,Wednesday,3,Art,Harper
1,Wednesday,4,Chemistry,Daniel
1,Wednesday,5,English,Lucas
1,Wednesday,6,History,Jacob
1,Wednesday,7,Art,Lucas
1,Wednesday,8,Literature,Aubrey
1,Wednesday,9,Computer Science,Grace
1,Thursday,1,Chemistry,Aiden
1,Thursday,2,Literature,Ella
1,Thursday,3,Geography,William
1,Thursday,4,Statistics,Ava
1,Thursday,5,Biology,Michael
1,Thursday,6,Chemistry,David
1,Thursday,7,History,Jacob
1,Thursday,8,Math,Bob
1,Thursday,9,History,Mia
1,Friday,1,History,Sophia
1,Friday,2,Biology,William
1,Friday,3,Physics,Henry
1,Friday,4,History,Sebastian
1,Friday,5,Economics,Benjamin
1,Friday,6,Physical Education,Elijah
1,Friday,7,Physics,David
1,Friday,8,Statistics,Matthew
1,Friday,9,Math,Brooklyn
2,Monday,1,Music,Nora
2,Monday,2,Geography,Alice
2,Monday,3,Physics,Henry
2,Monday,4,Biology,Alice
2,Monday,5,Economics,Liam
2,Monday,6,Computer Science,Bob
2,Monday,7,Biology,Samuel
2,Monday,8,Physics,Ella
2,Monday,9,Economics,Aubrey
2,Tuesday,1,Psychology,Amelia
2,Tuesday,2,English,Jackson
2,Tuesday,3,History,Sebastian
2,Tuesday,4,Math,Grace
2,Tuesday,5,Biology,Alice
2,Tuesday,6,Literature,Sophia
2,Tuesday,7,History,Jacob
2,Tuesday,8,Math,Grace
2,Tuesday,9,Literature,Ella
2,Wednesday,1,Music,Nora
2,Wednesday,2,Physics,Carter
2,Wednesday,3,Geography,William
2,Wednesday,4,Physics,Frank
2,Wednesday,5,Music,Mia
2,Wednesday,6,Literature,Aubrey
2,Wednesday,7,Computer Science,James
2,Wednesday,8,Physical Education,Riley
2,Wednesday,9,Computer Science,Bob
2,Thursday,1,Physics,David
2,Thursday,2,English,Lucas
2,Thursday,3,English,Lucas
2,Thursday,4,Literature,Sophia
2,Thursday,5,Music,Sebastian
2,Thursday,6,Biology,Chloe
2,Thursday,7,English,Gabriel
2,Thursday,8,Math,Noah
2,Thursday,9,Literature,Amelia
